Depth_point,d18O,Date
122,-4.582,8/1/2024
108,-4.365,8/1/2023
94,-4.297,9/1/2022
76,-4.361,8/1/2021
69,-4.379,9/1/2020
61,-4.173,8/1/2019
52,-3.975,8/1/2018
44,-4.295,7/1/2017
29,-4.369,8/1/2016
16,-4.201,10/1/2015
3,-4.3,8/1/2014
116,-3.131,2/1/2024
102,-3.292,2/1/2023
88,-2.982,2/1/2022
72,-3.197,3/1/2021
65,-3.174,2/1/2020
58,-2.967,3/1/2019
49,-3.271,1/1/2018
36,-3.227,2/1/2017
23,-3.279,1/1/2016
9,-3.567,2/1/2015
1,-3.533,2/1/2014
