datetime,sss,,,,,,,,,,,,,,,
8/1/20,38.872727,,,,,,,,,,,,,,,
9/1/20,39.558425,,,,,,,,,,,,,,,
10/1/20,39.30624,,,,,,,,,,,,,,,
11/1/20,38.872515,,,,,,,,,,,,,,,
12/1/20,39.04101,,,,,,,,,,,,,,,
1/1/21,38.997943,,,,,,,,,,,,,,,
2/1/21,38.933732,,,,,,,,,,,,,,,
3/1/21,39.074688,,,,,,,,,,,,,,,
4/1/21,38.411359,,,,,,,,,,,,,,,
5/1/21,38.667428,,,,,,,,,,,,,,,
6/1/21,38.736954,,,,,,,,,,,,,,,
7/1/21,38.503791,,,,,,,,,,,,,,,
8/1/21,39.189388,,,,,,,,,,,,,,,
9/1/21,39.374158,,,,,,,,,,,,,,,
10/1/21,38.992028,,,,,,,,,,,,,,,
11/1/21,38.973207,,,,,,,,,,,,,,,
12/1/21,39.130349,,,,,,,,,,,,,,,
1/1/22,39.061011,,,,,,,,,,,,,,,
2/1/22,39.160055,,,,,,,,,,,,,,,
3/1/22,38.6306,,,,,,,,,,,,,,,
4/1/22,38.218448,,,,,,,,,,,,,,,
5/1/22,38.546498,,,,,,,,,,,,,,,
6/1/22,38.74944,,,,,,,,,,,,,,,
7/1/22,38.701128,,,,,,,,,,,,,,,
8/1/22,38.830079,,,,,,,,,,,,,,,
9/1/22,39.205564,,,,,,,,,,,,,,,
10/1/22,38.998377,,,,,,,,,,,,,,,
11/1/22,39.170578,,,,,,,,,,,,,,,
12/1/22,38.765841,,,,,,,,,,,,,,,
1/1/23,39.189051,,,,,,,,,,,,,,,
2/1/23,39.188838,,,,,,,,,,,,,,,
3/1/23,38.773071,,,,,,,,,,,,,,,
4/1/23,38.422348,,,,,,,,,,,,,,,
5/1/23,38.792845,,,,,,,,,,,,,,,
6/1/23,38.519446,,,,,,,,,,,,,,,
7/1/23,38.686616,,,,,,,,,,,,,,,
8/1/23,39.226955,,,,,,,,,,,,,,,
9/1/23,39.594322,,,,,,,,,,,,,,,
10/1/23,39.299287,,,,,,,,,,,,,,,
11/1/23,39.442828,,,,,,,,,,,,,,,
12/1/23,39.513935,,,,,,,,,,,,,,,
1/1/24,39.060145,,,,,,,,,,,,,,,
2/1/24,39.349107,,,,,,,,,,,,,,,
3/1/24,39.168768,,,,,,,,,,,,,,,
4/1/24,38.813583,,,,,,,,,,,,,,,
5/1/24,39.085496,,,,,,,,,,,,,,,
6/1/24,38.595107,,,,,,,,,,,,,,,
7/1/24,38.530542,,,,,,,,,,,,,,,
8/1/24,39.274152,,,,,,,,,,,,,,,
9/1/24,39.612461,,,,,,,,,,,,,,,
10/1/24,39.323418,,,,,,,,,,,,,,,
11/1/24,39.089698,,,,,,,,,,,,,,,
12/1/24,39.254015,,,,,,,,,,,,,,,
1/1/25,39.048466,,,,,,,,,,,,,,,
