Date_MSUD,d18O_MSUD_anomaly,Date_SMII,d18O_SMII_anomaly
2024-02-15,0.018864219181818243,2014-02-15,-0.29618181818181855
2024-01-15,-0.004351282100000464,2014-03-15,-0.3349666669999998
2023-12-15,-0.02600854699999955,2014-04-15,-0.3353499996
2023-11-15,-0.04767051290000035,2014-05-15,-0.3105249999999997
2023-09-15,-0.02838525650000001,2014-06-15,-0.17506666669999937
2023-08-15,0.08722785545454581,2014-07-15,0.07342499959999937
2023-07-15,-0.022671794699999914,2014-08-15,0.4288999999999996
2023-06-15,-0.24431025639999948,2014-09-15,0.3172666664000001
2023-05-15,0.011602563999999926,2014-10-15,0.17809999990000058
2023-04-15,0.15672692309999992,2014-11-15,-0.043299999999999894
2023-03-15,0.11475641020000005,2014-12-15,-0.14676666699999963
2023-02-15,0.01286421918181846,2015-01-15,-0.2664583331000001
2023-01-15,-0.04935128210000039,2015-02-15,-0.3301818181818188
2022-12-15,-0.12034187999999935,2015-03-15,-0.30296666699999975
2022-11-15,-0.3726705129000001,2015-04-15,-0.11901666660000032
2022-10-15,-0.2121517094444445,2015-05-15,-0.04802499999999954
2022-09-15,-0.14938525650000045,2015-06-15,-0.07773333369999946
2022-08-15,-0.1477721445454545,2015-07-15,0.007258333599999389
2022-07-15,0.01266153829999972,2015-08-15,-0.07310000000000016
2022-06-15,0.1713564106000005,2015-09-15,0.05476666639999994
2022-05-15,0.26360256400000015,2015-10-15,-0.1599000000999995
2022-05-15,0.30826923100000014,2015-11-15,0.039200000000000124
2022-04-15,0.25206025610000005,2015-12-15,0.08223333300000002
2022-03-15,0.23175641020000004,2016-01-15,-0.019458333100000225
2022-02-15,-0.03480244781818165,2016-02-15,-0.04218181818181854
2022-01-15,-0.18135128210000007,2016-03-15,-0.14829999999999943
2021-12-15,-0.26800854699999954,2016-04-15,-0.4260166665999998
2021-11-15,-0.18700384590000052,2016-05-15,-0.279525
2021-10-15,-0.16081837644444397,2016-06-15,-0.18806666669999927
2021-09-15,-0.17038525650000036,2016-07-15,-0.22490833340000016
2021-08-15,0.029894522454545935,2016-08-15,-0.24110000000000031
2021-07-15,0.13866153830000005,2016-09-15,-0.18806666660000015
2021-06-15,0.16668974360000055,2016-10-15,-0.2879000000999996
2021-05-15,-0.07573076899999975,2016-11-15,-0.1882999999999999
2021-04-15,-0.17160640989999987,2016-12-15,-0.1730999999999998
2021-03-15,-0.1612435898000002,2017-01-15,0.042874999899999544
2021-02-15,-0.6741357808181814,2017-02-15,0.01781818181818151
2021-01-15,-0.6583512820999999,2017-03-15,0.2598666670000003
2020-12-15,-0.5500085469999991,2017-04-15,0.3829833333999999
2020-11-15,-0.31667051290000003,2017-05-15,0.3274750000000002
2020-10-15,-0.0961517094444444,2017-06-15,0.31260000030000024
2020-09-15,0.44061474349999985,2017-07-15,0.20325833359999956
2020-08-15,0.05722785545454556,2017-08-15,-0.15110000000000046
2020-07-15,-0.020671794700000135,2017-09-15,-0.2075666666
2020-06-15,0.05168974360000034,2017-10-15,-0.2862333330999993
2020-05-15,-0.23739743599999974,2017-11-15,-0.3342999999999998
2020-04-15,0.017726923100000125,2017-12-15,-0.29443333299999974
2020-03-15,0.1657564102000002,2018-01-15,-0.2739583331000004
2020-02-15,0.038947552181818335,2018-02-15,-0.034181818181818535
2020-01-15,0.11048205089999952,2018-03-15,0.13995000000000024
2019-11-15,0.3623294870999998,2018-04-15,0.2329833334
2019-10-15,0.299181623555556,2018-05-15,0.25522500000000026
2019-09-15,0.19428141049999992,2018-06-15,0.11793333330000033
2019-08-15,0.18022785545454578,2018-07-15,0.20209166659999944
2019-07-15,0.18416153830000015,2018-08-15,0.32739999999999947
2019-06-15,0.15968974360000043,2018-09-15,0.48168333340000036
2019-05-15,0.08885256400000019,2018-10-15,0.6780999999000006
2019-04-15,0.16206025609999974,2018-11-15,0.6864500000000002
2019-03-15,-0.09441025679999981,2018-12-15,0.5419
2019-02-15,0.09686421918181853,2019-01-15,0.3591249998999997
2019-01-15,0.06656538489999964,2019-02-15,0.2698181818181813
2018-12-15,0.06532478600000058,2019-03-15,0.18403333300000035
2018-11-15,0.07957948709999974,2019-04-15,0.1168166664000001
2018-10-15,0.044848290555555614,2019-05-15,0.09272500000000017
2018-09-15,-0.12446858950000017,2019-06-15,0.029933333300000697
2018-08-15,-0.11277214454545437,2019-07-15,-0.018158333400000615
2018-07-15,0.036078205299999944,2019-08-15,-0.0061000000000008825
2018-06-15,0.11702307660000066,2019-09-15,-0.015233333599999455
2018-05-15,0.024852564000000132,2019-10-15,0.05276666690000065
2018-04-15,-0.00010640989999988193,2019-11-15,0.1089500000000001
2018-03-15,0.08042307719999986,2019-12-15,0.2367333330000001
2018-02-15,0.13786421918181846,2020-01-15,0.14904166689999965
2018-01-15,0.0884948718999996,2020-02-15,0.06281818181818144
2017-12-15,-0.010931623999999474,2020-03-15,0.016116667000000362
2017-11-15,-0.14313205090000025,2020-04-15,-0.014183333600000125
2017-10-15,-0.18553632444444412,2020-05-15,-0.0067749999999997534
2017-09-15,-0.23361602549999994,2020-06-15,-0.01473333369999974
2017-08-15,-0.15969522154545412,2020-07-15,0.009508333599999474
2017-07-15,-0.1792871797000002,2020-08-15,-0.12910000000000021
2017-06-15,-0.1965410253999993,2020-09-15,-0.30006666660000025
2017-05-15,-0.2778589739999995,2020-10-15,-0.2379000000999998
2017-04-15,-0.24804230790000004,2020-11-15,-0.21755000000000013
2017-03-15,-0.2254743588000001,2020-12-15,-0.16559999999999997
