time,sss
11/20/14,39.2663765
11/27/14,39.39976883
12/4/14,39.04583359
12/11/14,39.65072632
12/18/14,39.60174942
12/25/14,39.20816803
1/1/15,39.02455902
1/8/15,38.79930878
1/15/15,38.88248825
1/22/15,38.95969772
1/29/15,38.68569946
2/5/15,38.85352325
2/12/15,39.00627518
2/19/15,38.94865799
2/26/15,39.38316727
3/5/15,38.81287003
3/12/15,38.8616066
3/19/15,38.98580551
3/26/15,38.75765228
4/2/15,38.17967224
4/9/15,38.5155983
4/16/15,38.36325073
4/23/15,38.90422821
4/30/15,39.24295425
5/7/15,38.94753265
5/14/15,38.59528732
5/21/15,38.45700455
5/28/15,38.73445892
6/4/15,38.42507935
6/11/15,38.38970566
6/18/15,39.06476212
6/25/15,38.71865082
7/2/15,38.54512024
7/9/15,38.60213852
7/16/15,38.42992783
7/23/15,38.89239883
7/30/15,38.58239365
8/6/15,38.6097374
8/13/15,39.46679306
8/20/15,39.35495758
8/27/15,39.47015762
9/3/15,39.74922943
9/10/15,39.51453018
9/17/15,39.95288086
9/24/15,39.7912178
10/1/15,39.5057373
10/8/15,39.64660263
10/15/15,39.24767303
10/22/15,39.24630356
10/29/15,38.81710815
11/5/15,38.5102005
11/12/15,38.84581757
11/19/15,39.47873306
11/26/15,39.71415329
12/3/15,39.3982811
12/10/15,39.27545929
12/17/15,39.52590179
12/24/15,39.23682785
12/31/15,39.10871124
1/7/16,38.45845413
1/14/16,38.85373688
1/21/16,39.56492233
1/28/16,39.11503601
2/4/16,38.67255783
2/11/16,38.72277451
2/18/16,39.04983139
2/25/16,38.75760651
3/3/16,38.36952972
3/10/16,38.33364105
3/17/16,38.73797607
3/24/16,38.79732132
3/31/16,38.48474503
4/7/16,38.99896622
4/14/16,38.93828201
4/21/16,39.03115463
4/28/16,39.1800766
5/5/16,38.41167068
5/12/16,38.7633934
5/19/16,38.45588303
5/26/16,38.20318222
6/2/16,38.17492294
6/9/16,38.4801445
6/16/16,38.48321152
6/23/16,38.69574738
6/30/16,38.65617752
7/7/16,38.59039688
7/14/16,38.70292664
7/21/16,38.00001526
7/28/16,38.21910858
8/4/16,38.54164124
8/11/16,38.52673721
8/18/16,38.82779312
8/25/16,38.59957886
9/1/16,38.45015335
9/8/16,38.91409683
9/15/16,38.88879013
9/22/16,39.07400131
9/29/16,39.21215057
10/6/16,38.69567108
10/13/16,38.92337799
10/20/16,39.14385223
10/27/16,39.36991501
11/3/16,39.40639114
11/10/16,39.13957977
11/17/16,39.47553253
11/24/16,39.54133606
12/1/16,39.18138885
12/8/16,39.18801498
12/15/16,39.37286377
12/22/16,39.09362411
12/29/16,39.27444077
1/5/17,38.79640961
1/12/17,39.19024277
1/19/17,38.88033676
1/26/17,38.80871964
2/2/17,38.74906921
2/9/17,39.0501709
2/16/17,39.55017853
2/23/17,39.43107986
3/2/17,39.48506546
3/9/17,38.83137512
3/16/17,38.87869644
3/23/17,39.08587646
3/30/17,38.81546783
4/6/17,38.9718399
4/13/17,38.76077271
4/20/17,38.82131577
4/27/17,38.82899857
5/4/17,38.55501175
5/11/17,38.99893188
5/18/17,38.63367844
5/25/17,39.01239395
6/1/17,38.78044891
6/8/17,38.70263672
6/15/17,38.94118881
6/22/17,38.95002365
6/29/17,38.87278748
7/6/17,38.71056366
7/13/17,38.39761353
7/20/17,38.58271408
7/27/17,39.0526123
8/3/17,39.17871094
8/10/17,39.26089859
8/17/17,39.01101685
8/24/17,38.83604431
8/31/17,39.33605957
9/7/17,39.42664719
9/14/17,39.42081451
9/21/17,39.53382874
9/28/17,39.14382935
10/5/17,39.27051544
10/12/17,39.75320435
10/19/17,39.60303116
10/26/17,39.18493652
11/2/17,39.20848083
11/9/17,39.00749207
11/16/17,39.24295425
11/23/17,39.69625092
11/30/17,39.42329407
12/7/17,38.94132233
12/14/17,38.747612
12/21/17,39.01253891
12/28/17,38.60354996
1/4/18,38.72520065
1/11/18,39.03588867
1/18/18,39.24875641
1/25/18,39.59159088
2/1/18,39.57917404
2/8/18,39.73741913
2/15/18,39.38773727
2/22/18,39.03834534
3/1/18,38.81131363
3/8/18,38.44866943
3/15/18,39.07757187
3/22/18,39.00363541
3/29/18,38.78080368
4/5/18,39.13803482
4/12/18,39.33821869
4/19/18,38.86455154
4/26/18,38.81860733
5/3/18,38.85933304
5/10/18,38.869133
5/17/18,39.07984161
5/24/18,38.61949921
5/31/18,38.69019318
6/7/18,38.95764923
6/14/18,38.84258652
6/21/18,39.18245697
6/28/18,39.35449219
7/5/18,39.22613525
7/12/18,39.30839157
7/19/18,39.13660049
7/26/18,39.09832001
8/2/18,39.03722763
8/9/18,38.90525818
8/16/18,38.97473145
8/23/18,39.57935333
8/30/18,39.68914032
9/6/18,39.65869904
9/13/18,40.22335052
9/20/18,39.95250702
9/27/18,39.15185928
10/4/18,39.3947258
10/11/18,39.48309326
10/18/18,39.60145187
10/25/18,39.2367363
