24.243225,2007-01-01,,
24.709286,2007-02-01,,
24.97129,2007-03-01,,
26.831,2007-04-01,,
28.981936,2007-05-01,,
29.571333,2007-06-01,,
30.913548,2007-07-01,,
31.252256,2007-08-01,,
30.205666,2007-09-01,,
29.648386,2007-10-01,,
27.72,2007-11-01,,
26.504839,2007-12-01,,
25.054516,2008-01-01,,
23.871378,2008-02-01,,
25.641935,2008-03-01,,
26.829332,2008-04-01,,
27.946451,2008-05-01,,
29.385,2008-06-01,,
30.793549,2008-07-01,,
31.77258,2008-08-01,,
30.666666,2008-09-01,,
29.696774,2008-10-01,,
28.268,2008-11-01,,
26.574516,2008-12-01,,
25.23645,2009-01-01,,
25.744999,2009-02-01,,
25.51871,2009-03-01,,
26.622665,2009-04-01,,
27.764193,2009-05-01,,
29.187332,2009-06-01,,
31.096128,2009-07-01,,
31.668386,2009-08-01,,
31.129333,2009-09-01,,
30.398386,2009-10-01,,
29.538666,2009-11-01,,
27.312258,2009-12-01,,
25.56903,2010-01-01,,
26.097143,2010-02-01,,
25.961935,2010-03-01,,
26.592999,2010-04-01,,
28.04258,2010-05-01,,
29.031332,2010-06-01,,
30.276773,2010-07-01,,
31.742903,2010-08-01,,
31.259666,2010-09-01,,
31.134838,2010-10-01,,
29.98,2010-11-01,,
28.47129,2010-12-01,,
26.478708,2011-01-01,,
25.366072,2011-02-01,,
24.982903,2011-03-01,,
25.845999,2011-04-01,,
27.509676,2011-05-01,,
28.678333,2011-06-01,,
29.72516,2011-07-01,,
30.584192,2011-08-01,,
30.495998,2011-09-01,,
30.070322,2011-10-01,,
28.464333,2011-11-01,,
25.649677,2011-12-01,,
25.54129,2012-01-01,,
24.604828,2012-02-01,,
24.744516,2012-03-01,,
26.425,2012-04-01,,
28.299355,2012-05-01,,
29.199,2012-06-01,,
31.023226,2012-07-01,,
31.54613,2012-08-01,,
31.077665,2012-09-01,,
30.494192,2012-10-01,,
29.237999,2012-11-01,,
27.330967,2012-12-01,,
25.428064,2013-01-01,,
25.325714,2013-02-01,,
26.102257,2013-03-01,,
27.056665,2013-04-01,,
28.694838,2013-05-01,,
29.314,2013-06-01,,
30.15387,2013-07-01,,
30.480644,2013-08-01,,
30.296,2013-09-01,,
29.015484,2013-10-01,,
27.949333,2013-11-01,,
26.414839,2013-12-01,,
25.10516,2014-01-01,,
24.396786,2014-02-01,,
25.084192,2014-03-01,,
26.755667,2014-04-01,,
