Time,Salinity
2001-07,38.972728
2001-08,39.08422
2001-09,39.306727
2001-10,39.296406
2001-11,39.223008
2001-12,39.152145
2002-01,39.063768
2002-02,38.983216
2002-03,38.899308
2002-04,38.922206
2002-05,38.838656
2002-06,38.904528
2002-07,38.953631
2002-08,39.128742
2002-09,39.25007
2002-10,39.296584
2002-11,39.244928
2002-12,39.215634
2003-01,39.143637
2003-02,39.111205
2003-03,38.930318
2003-04,38.820885
2003-05,38.790885
2003-06,38.86724
2003-07,38.991393
2003-08,39.101186
2003-09,39.259994
2003-10,39.333021
2003-11,39.24845
2003-12,39.188598
2004-01,39.136712
2004-02,39.043197
2004-03,38.908924
2004-04,38.860429
2004-05,38.719678
2004-06,38.840818
2004-07,38.955152
2004-08,39.079556
2004-09,39.257545
2004-10,39.270081
2004-11,39.267295
2004-12,39.240438
2005-01,39.198111
2005-02,39.087981
2005-03,39.026566
2005-04,38.897915
2005-05,38.789073
2005-06,38.894325
2005-07,38.947994
2005-08,39.121692
2005-09,39.256353
2005-10,39.374034
2005-11,39.354665
2005-12,39.229137
2006-01,39.142937
2006-02,39.11351
2006-03,38.922128
2006-04,38.86531
2006-05,38.796124
2006-06,38.873298
2006-07,38.96622
2006-08,39.123329
2006-09,39.275525
2006-10,39.362252
2006-11,39.237618
2006-12,39.177873
2007-01,39.121831
2007-02,39.011104
2007-03,38.986376
2007-04,38.800729
2007-05,38.780881
2007-06,38.872069
2007-07,38.977797
2007-08,39.107759
2007-09,39.264642
2007-10,39.307289
2007-11,39.370929
2007-12,39.275642
2008-01,39.164687
2008-02,39.037066
2008-03,38.888349
2008-04,38.846261
2008-05,38.816185
2008-06,38.842936
2008-07,38.98742
2008-08,39.108996
2008-09,39.250783
2008-10,39.357361
2008-11,39.313585
2008-12,39.26944
2009-01,39.175154
2009-02,39.017419
2009-03,38.852633
2009-04,38.865094
2009-05,38.804957
2009-06,38.85694
2009-07,38.981699
2009-08,39.108314
2009-09,39.210225
2009-10,39.293431
2009-11,39.257343
2009-12,39.231676
2010-01,39.170699
2010-02,39.035373
2010-03,38.958195
2010-04,38.984089
2010-05,38.875088
2010-06,38.908706
2010-07,38.952164
2010-08,39.108112
2010-09,39.248139
2010-10,39.299102
2010-11,39.239651
2010-12,39.073955
2011-01,39.163795
2011-02,39.148815
2011-03,39.018938
2011-04,38.960292
2011-05,38.817243
2011-06,38.882945
2011-07,38.942614
2011-08,39.103518
2011-09,39.254528
2011-10,39.275964
2011-11,39.228517
2011-12,39.198022
2012-01,39.06688
2012-02,39.050662
2012-03,38.921869
2012-04,38.824725
2012-05,38.807189
2012-06,38.866384
2012-07,38.974761
2012-08,39.115482
2012-09,39.277564
2012-10,39.323656
2012-11,39.269657
2012-12,39.236222
2013-01,39.185573
2013-02,39.058687
2013-03,38.977287
2013-04,38.913497
2013-05,38.816174
2013-06,38.92212
2013-07,38.972782
2013-08,39.109956
2013-09,39.300889
2013-10,39.42042
2013-11,39.432771
2013-12,39.228073
2014-01,39.166903
2014-02,39.167055
2014-03,39.037265
2014-04,38.956023
2014-05,38.908836
2014-06,38.888538
2014-07,38.957252
2014-08,39.121696
2014-09,39.267501
2014-10,39.410656
2014-11,39.371823
2014-12,39.238332
2015-01,39.152828
2015-02,39.093721
2015-03,39.022736
2015-04,38.965946
2015-05,38.787918
2015-06,38.97313
2015-07,39.064421
2015-08,39.176189
2015-09,39.300408
2015-10,39.443833
2015-11,39.338863
2015-12,39.512027
2016-01,39.327281
2016-02,39.014824
2016-03,38.493727
2016-04,38.454103
2016-05,38.342968
2016-06,38.726468
2016-07,38.800563
2016-08,38.971466
2016-09,39.267816
2016-10,39.255602
2016-11,39.222198
2016-12,39.234507
2017-01,39.13753
2017-02,39.162102
2017-03,38.991755
2017-04,38.931695
2017-05,38.848385
2017-06,38.988423
2017-07,38.832609
2017-08,39.056219
2017-09,39.314825
2017-10,39.618023
2017-11,39.397018
2017-12,39.218971
2018-01,38.858763
2018-02,38.826211
2018-03,38.558056
2018-04,38.731093
2018-05,38.847706
2018-06,38.964939
2018-07,39.13719
2018-08,39.038977
2018-09,39.204392
2018-10,39.233127
2018-11,39.156394
2018-12,39.146965
2019-01,38.984253
2019-02,38.68645
2019-03,38.358307
2019-04,38.670722
2019-05,38.725364
2019-06,38.798702
2019-07,38.861474
2019-08,38.931637
2019-09,39.172736
2019-10,39.482311
2019-11,39.237975
2019-12,39.14848
2020-01,39.078917
2020-02,38.766956
2020-03,38.554549
2020-04,38.598113
2020-05,38.756845
2020-06,38.70389
2020-07,38.767954
2020-08,38.84131
2020-09,39.134945
2020-10,39.211951
2020-11,39.120512
2020-12,39.157743
2021-01,39.048976
2021-02,38.788412
2021-03,38.64051
2021-04,38.693112
