Table 1
Year,d18O,,,
15-Nov-09,-3.6885,,,
15-Oct-09,-3.84366666666649,,,
15-Sep-09,-4.03583333333333,,,
15-Aug-09,-4.22,,,
15-Jul-09,-4.0900000000003,,,
15-Jun-09,-4.038,,,
15-May-09,-4.0135,,,
15-Apr-09,-3.8976666666669,,,
15-Mar-09,-3.67733333333333,,,
15-Feb-09,-3.619,,,
15-Jan-09,-3.30500000000086,,,
15-Dec-08,-3.628,,,
15-Nov-08,-3.617,,,
15-Oct-08,-3.991,,,
15-Sep-08,-4.031,,,
15-Aug-08,-4.227,,,
15-Jul-08,-4.23499999999998,,,
15-Jun-08,-4.208,,,
15-May-08,-4.202,,,
15-Apr-08,-4.065,,,
15-Mar-08,-3.963,,,
15-Feb-08,-3.861,,,
